SWSN_ID,SWSN_Site,Macro,EASTING,NORTHING
2,Swingle's Sample,San Pedro,518695,3647252
3,Bajada Site,San Pedro,515866,3648943
7,Ash Terrace,San Pedro,527313,3630596
8,Lost Mound,San Pedro,529972,3632514
9,Dudleyville Mound,San Pedro,524026,3645886
10,Leaverton,San Pedro,535737,3623843
11,Camp Village,San Pedro,534905,3617926
12,High Mesa,San Pedro,546496,3598312
13,Elliott Site,San Pedro,557591,3581666
16,Bayless Ruin,San Pedro,544925,3588237
19,Flieger,San Pedro,529261,3633082
21,Big Bell,San Pedro,539915,3613762
25,111 Ranch,San Pedro,541763,3602213
27,Davis Ranch Site,San Pedro,552923,3584431
28,Reeve Ruin,San Pedro,551102,3582897
35,Adobe Hill,San Pedro,526453,3650750
81,Curtis,San Pedro,555047,3578574
94,Jose Solas Ruin,San Pedro,552577,3579446
95,Piper Springs,San Pedro,517510,3652913
99,Wright,San Pedro,527925,3626773
103,Second Canyon Compound,San Pedro,547502,3588934
158,Armer Gulch Ruin,Central Arizona Highlands,493090,3736335
247,AZ U:4:009 (ASM),Tonto Basin,479238,3738447
539,Indian Point Complex,Tonto Basin,483078,3733164
555,Pinto Point Mound,Tonto Basin,496101,3721256
576,Tonto Cliff Dwellings,Tonto Basin,492238,3723831
584,VIV Platform Mound,Tonto Basin,476477,3756698
597,AZ W:11:12,Mogollon Rim,637956,3687562
607,Foote Canyon Pueblo,Mogollon Highlands,671644,3715610
630,Casa Malpais,Upper Little Colorado,656361,3784613
631,Danson Pueblo,Upper Little Colorado,655542,3787258
632,Hooper Ranch Pueblo,Upper Little Colorado,658934,3786640
645,LA 3279,Mogollon Highlands,687403,3745758
669,Gila Cliff Dwellings,Mogollon Highlands,755647,3675136
670,3-Up,Upper Gila,684906,3665191
683,Babocomari Village,Chihuahuan Lowlands,561157,3500817
684,Hereford,Chihuahuan Lowlands,587562,3487303
719,Maddox Ranch,Chihuahuan Lowlands,701589,3508237
721,Pendleton,Chihuahuan Lowlands,695576,3475145
738,Clanton Draw,Chihuahuan Lowlands,696198,3487474
739,Box Canyon,Chihuahuan Lowlands,696591,3497519
885,LA 39035,Upper Gila,703610,3613501
895,Stewart Ranch,Chihuahuan Lowlands,692402,3483130
899,Double Adobe,Chihuahuan Lowlands,711099,3502822
900,Cloverdale Park,Chihuahuan Lowlands,690319,3483371
901,Saddle Bronc,Chihuahuan Lowlands,710791,3499482
919,Kinishba,Mogollon Rim,588023,3741763
922,Awat'ovi,Hopi,569265,3958020
933,Point of Pines Ruin,Mogollon Rim,619195,3689447
955,Techado Spring,Zuni,741935,3816486
962,Horse Camp Mill,Zuni,739941,3820094
966,Ojo Pueblo,Zuni,724531,3859971
977,Eagle Crag,Kayenta/Tusayan,603421,3968047
985,Wide Reed Ruin,Kayenta/Tusayan,627407,3948867
1034,Togetzoge,Tonto Basin,500067,3689003
1037,Gila Pueblo,Tonto Basin,521917,3694970
1049,Chevelon,Middle Little Colorado,543499,3867427
1056,Haby Ranch,Safford,565515,3627013
1059,Hilltop Ruin,Upper Gila,721908,3657047
1060,Dinwiddie,Upper Gila,717177,3659100
1066,Hukovi,Hopi,528049,3972902
1071,Old Shongopavi I,Hopi,545643,3965224
1095,Pink Arrow,Hopi,574193,3962763
1096,Kokopnyama,Hopi,581323,3961864
1114,Spear Ranch,Safford,600701,3631535
1118,Fischer site,Safford,623188,3627091
1123,Yuma Wash Site,Safford,633761,3631968
1153,Black Mountain Pueblo,Central Arizona Highlands,538171,3764402
1154,Sanrace Cliff Dwelling,Central Arizona Highlands,538189,3741637
1156,Schoolhouse Point Mound,Tonto Basin,503862,3722734
1160,Cooper Forks Cliff Dwelling,Central Arizona Highlands,517573,3748417
1161,Cock's Comb Ridge,Central Arizona Highlands,511163,3747745
1163,Pottery Point Ruin,Central Arizona Highlands,518266,3736680
1165,Upper Coon Creek,Central Arizona Highlands,513119,3731632
1166,AZ C:1:37,Central Arizona Highlands,516494,3739579
1171,Granite Basin,Central Arizona Highlands,524841,3741402
1177,Canyon Creek,Central Arizona Highlands,531111,3760685
1179,Blue House Mountain,Central Arizona Highlands,539742,3758093
1181,Spotted Mountain Pueblo,Central Arizona Highlands,537894,3761139
1182,Canyon Butte Pueblo,Central Arizona Highlands,529425,3749160
1185,Ruins Tank,Central Arizona Highlands,534907,3754466
1190,Carrizo Ruin,Central Arizona Highlands,561431,3762933
1192,Shumway Ruin,Silver Creek,587725,3810281
1193,Fourmile Ruin,Silver Creek,579384,3815351
1195,Bailey Ruin,Silver Creek,554376,3803401
1199,Pinedale Ruin,Silver Creek,574450,3794398
1204,Grasshopper,Central Arizona Highlands,532528,3771427
1207,Brush Mountain,Central Arizona Highlands,537812,3762479
1210,Red Canyon Pueblo,Central Arizona Highlands,539240,3765280
1212,Blue Springs Ruin,Central Arizona Highlands,564219,3767171
1217,Tundastusa,Silver Creek,584554,3782895
1221,Ormand Village,Upper Gila,723953,3645239
1223,Villareal II,Upper Gila,730752,3653419
1224,Dutch Ruin,Upper Gila,712069,3621699
1228,Spier 175,Upper Little Colorado,645733,3817337
1229,Rattlesnake Point,Upper Little Colorado,655061,3800986
1231,Sherwood Ranch,Upper Little Colorado,648218,3791108
1235,Baca Pueblo,Upper Little Colorado,654361,3805321
1237,Table Rock Pueblo,Upper Little Colorado,647348,3816912
1253,Puerco Ruin,Puerco West,608103,3865613
1254,Wallace Tank Ruin,Puerco West,609232,3858558
1260,Bidahochi,Middle Little Colorado,585871,3909082
1264,Cottonwood Creek,Middle Little Colorado,535103,3876795
1267,Homol'ovi I,Middle Little Colorado,535337,3877058
1279,Halona:wa South,Zuni,695921,3885146
1280,Atsinna,Zuni,737710,3884367
1282,Cienega,Zuni,742115,3888061
1283,Mirabal,Zuni,746414,3881696
1285,North Atsinna,Zuni,743268,3883785
1287,Yellowhouse,Zuni,709897,3889547
1294,Pueblo de los Muertos,Zuni,742970,3893608
1303,Upper Pescado,Zuni,720591,3883086
1306,LA 15560,Zuni,712877,3891883
1308,Pescado West,Zuni,721401,3885025
1309,Lower Pescado Ruin,Zuni,723284,3885824
1322,Brooklyn Basin,Verde/New River,406259,3783943
1339,Richinbar Site (B),Verde/New River,395393,3784628
1341,Pueblo Pato,Verde/New River,397929,3780615
1342,Rattlesnake House I & II,Verde/New River,398538,3779799
1345,Pueblo La Plata,Verde/New River,408088,3785467
1352,Badger Springs Site,Verde/New River,396144,3787244
1384,Boss Ranch,Chihuahuan Lowlands,655993,3491945
1388,Slaughter Ranch,Chihuahuan Lowlands,661602,3470320
1389,Old Caves,Flagstaff,451340,3901939
1460,Pueblo Grande,Phoenix Basin,405445,3705122
1488,Polles Pueblo,Verde/New River,452513,3791658
1501,Mud Springs Ruin,Verde/New River,420307,3784950
1561,Chavez Pass Pueblo,Flagstaff,485235,3845883
1566,Cornville Ruin,Verde/New River,419187,3840391
1567,Sugarloaf Site,Verde/New River,419563,3841897
1568,Montezuma Well (E.Rim),Verde/New River,431587,3837629
1569,Jackson Ranch Ruin,Verde/New River,428474,3835897
1570,Montezuma Castle A & B,Verde/New River,427250,3833535
1571,Kinnikinnick,Flagstaff,481378,3860120
1573,Grapevine Pueblo,Flagstaff,471262,3860101
1574,Clear Creek Ruin,Verde/New River,423223,3819230
1622,Zanardelli Site,Santa Cruz,510069,3545201
1654,"Cline Terrace Mound, Monster Ruin",Tonto Basin,474221,3741618
1662,Los Guanacos,Phoenix Basin,412425,3691012
1670,University Indian Ruins,Santa Cruz,513186,3572747
1672,Pueblo Blanco,Phoenix Basin,415587,3706073
1676,Sunset Mesa,Santa Cruz,490061,3575067
1681,Pueblo Salado,Phoenix Basin,402819,3694727
1685,White Rincon,Papagueria,457166,3537768
1688,Jackrabbit,Papagueria,410111,3533488
1713,Casa Grande,Phoenix Basin,447370,3648531
1735,Las Colinas,Phoenix Basin,397959,3702491
1748,Brady Wash,Phoenix Basin,464999,3639119
1750,Mendoza Canyon,Papagueria,452639,3534047
1751,Escalante,Phoenix Basin,459834,3657210
1754,Las Acequias,Phoenix Basin,414464,3696774
1771,Casa Buena,Phoenix Basin,406285,3699522
1808,Kuykendall,Chihuahuan Lowlands,635299,3524797
1829,Curtis Ruin(Buena Vista),Safford,633218,3634367
1837,AZ CC:1:3,Safford,606523,3643481
1847,Fort Grant Pueblo,Safford,602679,3610794
1865,Mercer Ruin,Verde/New River,428790,3763032
1939,Lower Pescado Village,Zuni,720467,3886032
1984,Tuzigoot,Verde/New River,404907,3846285
2120,Crescent Site,Safford,575438,3619512
2121,Rattlesnake Mesa,Safford,566761,3628740
2130,Stone Axe Ruin,Puerco West,614989,3855233
2136,Mats'a:kya Ruin,Zuni,697550,3887208
2140,Webb Ruin,Safford,594487,3612988
2414,AZ CC:2:185,Safford,615868,3625390
2493,Rabid Ruin,Santa Cruz,498437,3567092
2728,Old Shongopavi II,Hopi,540608,3966058
2793,Yuma Wash--Tucson,Santa Cruz,494508,3578030
2794,Cactus Forest,Phoenix Basin,470454,3648049
2795,Black Axe,Puerco West,610506,3851964
2919,Garden Canyon,Chihuahuan Lowlands,562591,3481756
2920,Rillito Fan,Santa Cruz,491829,3578016
2981,Veteado Pueblo,Zuni,746894,3826127
