Id,lat,long,name
n0,41.5501,-8.427,"""Bracara"""
n1,42.8101,-8.5974,"""Iria Flavia"""
n2,38.9186,-1.7228,"""Saltigi"""
n3,41.3766,-1.6083,"""Bilbilis"""
n4,39.2362,-8.6871,"""Scallabis"""
n5,36.2765,-6.0886,"""Mercablum/Merifabion"""
n6,39.4758,-0.3755,"""Valentia (Hispania Tarraconensis) (1)"""
n7,37.4411,-6.0449,"""Italica"""
n8,37.3003,-3.1346,"""Acci/Col. Iulia Gemella"""
n9,39.8567,-4.0245,"""Toletum"""
n10,41.7812,-3.3701,"""Clunia"""
n11,42.1401,-0.4089,"""Osca"""
n12,41.616,0.6259,"""Ilerda"""
n13,37.8838,-4.7803,"""Corduba"""
n14,37.5997,-0.9843,"""Carthago Nova"""
n15,36.4558,-6.2184,"""Gades"""
n16,38.9156,-6.3385,"""Augusta Emerita"""
n17,37.6804,-1.6915,"""Eliocroca?"""
n18,37.0801,-4.6135,"""Singilia Barba"""
n19,37.5182,-5.9783,"""Ilipa"""
n20,43.3416,-8.4008,"""(Flavium) Brigantium/Portus Magnus?"""
n21,37.0153,-7.9351,"""Ossonoba"""
n22,38.9428,-3.23,"""Laminium"""
n23,38.0358,-3.6236,"""Castulo"""
n24,42.0047,-0.1258,"""Pertusa"""
n25,40.965,-5.6631,"""Salmantica"""
n26,37.4714,-5.6404,"""Carmo"""
n27,42.5998,-6.7257,"""Bergidum Flavium"""
n28,40.6374,-3.1703,"""Arriaca/Arentia"""
n29,38.7212,-9.1453,"""Olisipo"""
n30,37.3941,-5.9967,"""Hispalis"""
n31,41.9848,-5.6083,"""Brigaecium/Brigeco"""
n32,36.7167,-4.4167,"""Malaca"""
n33,39.4622,-8.2412,"""Tubucci"""
n34,41.9873,2.8266,"""Gerunda"""
n35,41.591,-4.8245,"""Septimanca"""
n36,38.9646,-5.9569,"""Metellinum"""
n37,40.1594,-8.4154,"""Conimbriga"""
n38,41.5853,-3.0821,"""Uxama"""
n39,39.4509,-7.9993,"""Aritium"""
n40,38.3721,-8.4877,"""Salacia"""
n41,41.5327,2.4365,"""Iluro"""
n42,41.571,-5.6466,"""Ocelum Duri"""
n43,40.811,0.521,"""Dertosa/Hibera Iulia Ilercavonia"""
n44,41.6742,2.7921,"""Blanda(e)"""
n45,42.5503,-3.3234,"""Virovesca"""
n46,41.654,-0.8785,"""Caesaraugusta"""
n47,37.0194,-4.5629,"""Anticaria"""
n48,37.5409,-5.0799,"""Astigi"""
n49,40.1668,-6.1011,"""Capera"""
n50,41.4316,2.2294,"""Baetulo"""
n51,41.8698,-1.3178,"""Pagus Gallorum et Segardinenssium"""
n52,39.6252,-8.3844,"""Sellium"""
n53,39.4743,-6.3722,"""Norba/Col. Norbensis Caesarina"""
n54,39.8088,-5.6817,"""Augustobriga"""
n55,36.7575,-6.0804,"""Hasta Regia"""
n56,41.8096,-2.4443,"""Numantia"""
n57,38.869,-2.4222,"""Libisosa"""
n58,41.7987,-6.8055,"""*Civitas Zoelarum"""
n59,41.15,-8.6102,"""Cale"""
n60,36.8402,-2.4679,"""Portos Magnos"""
