x,y,area,mounded,volume,moud_vol,elev
575649.95,4072298.3,, , , , 
577394.95,4059693.3,21625,,, , 
577399.95,4072253.3,27525,1125,,3415,3.04
577508.92,4067010.6,94975,8575,88460,19205.75,2.24
577635.47,4055805.6,92425,11200,57095,22739.75,2.03
577739.56,4057587,278100,29000,210812.5,93812.5,3.22
577742.07,4062060.6,329525,203750,1768225,1718125,8.44
577906.62,4103685.8,133775,11650,140065,38692.5,3.32
577930.68,4063509.5,11500,,4379.75, , 
577937.69,4069665.7,66225,12325,77277.5,31677.5,2.57
577965.2,4047565.8,272900,,, , 
578008.11,4064466.4,99550,25750,79072.5,50637.5,1.96
578024.99,4068945.2,103100,,181017.5, , 
578055.27,4095214.4,324825,9225,,101397.5,11
578124.43,4093759,143500,,, , 
578201.68,4054619.3,34450,,5899.75, , 
578374.03,4071886.1,88075,23300,185505,107217.5,4.6
578497.73,4052508.3,229150,7075,127015,33652.5,4.76
578500.29,4092544.2,131525,9025,807900,123132.5,13.6
578516.72,4069157.4,152275,13125,86297.5,73195,5.58
578629.95,4072613.3,7875,,2463.875, , 
579109.68,4055982.5,44350,,, , 
579116.15,4074573.5,75950,,, , 
579146.77,4065815.6,188400,1500,,2764.75,1.84
579315.48,4048453.3,125200,6400,,13957.75,2.18
579344.09,4104609.2,53575,4150,,13259,3.19
579668.9,4056117.6,93650,,, , 
579727.04,4071229.4,193650,14275,97362.5,40865,2.86
579743.98,4069308.5,51600,1150,22862,2889.25,2.51
579750.27,4072521.1,16850,,14960, , 
579835.07,4091144.3,88750,50,,256.9,5.14
579915.85,4092996.8,227750,575,,7894.25,13.7
579919.6,4055965.1,21375,,7152.5, , 
579965.41,4051433.3,64175,,, , 
580022.74,4069444.2,67025,,17340.75, , 
580047.45,4085290.8,77025,13675,84430,46085,3.37
580094.95,4055908.3,29250,,, , 
580135.61,4056110.1,85275,1325,,2749.75,2.08
580177.21,4070798,375925,56500,,164707.5,2.92
580203.15,4061727.1,162550,11225,13061.25,28307.5,2.52
580489.54,4057053.7,116950,,, , 
580505.71,4082749.3,128825,2025,,6646,3.28
580520.81,4105338.7,145200,1675,193825,15804,9.44
580561.49,4084357.6,81825,2250,14226.5,4982.75,2.21
580595.5,4050115.8,55500,4225,,11119.5,2.63
580610.34,4040433.4,303650,4650,115210,15234,3.28
580690.74,4070695.3,31175,150,9313.5,232.4575,1.55
580753.85,4086667.9,78225,2125,291950,28827.5,13.6
580799.95,4080403.3,7650,,, , 
580869.85,4097130.9,262250,23300,197245,73305,3.15
580931.5,4055581.9,143775,6750,3779.25,12175,1.8
580960.23,4049553.3,60350,,, , 
581057.95,4051825.8,132475,,, , 
581092.87,4097728.4,291600,6750,,15308,2.27
581258.2,4062192.5,102450,2100,54412.5,4447,2.12
581303.36,4071960,41550,8225,24727,19379.25,2.36
581527.24,4053734,99725,2175,,4868.5,2.24
581550.47,4097088.3,251975,80250,435350,277850,3.46
581599.93,4106963.1,202650,550,,3135.75,5.7
581710.39,4071565.2,16600,,, , 
581731.55,4080508.8,47900,13775,56905,47755,3.47
581777.97,4070331.4,70825,3425,35510,9913.75,2.89
581982.52,4100712.1,57750,,, , 
582095,4057267.4,85725,11975,13341.75,19646.5,1.64
582178,4096169,84650,3750,7462,7935.75,2.12
582210.1,4111804.8,124225,36750,245005,140890,3.83
582308.15,4101423.7,79025,,, , 
582315.98,4057113.1,89400,,, , 
582358.54,4072894,25125,5950,86420,60515,10.2
582365.38,4056156.6,129000,75,,214.9425,2.87
582410.36,4103435,136950,525,,3972.25,7.57
582427.4,4058715.9,184750,7125,,32495,4.56
582504.95,4071348.3,33050,11850,30425,25082.5,2.12
582505.19,4060737.9,154925,1325,,4001.25,3.02
582525.36,4087943,249000,14550,,72022.5,4.95
582542.84,4114184.5,210700,8775,,23755,2.71
582544.95,4078558.3,4150,275,5825.75,504.4,1.83
582567.94,4050380.8,119575,50,,114.4225,2.29
582605.42,4097358.3,238800,11525,98757.5,16056.25,1.39
582637.63,4063115.3,168225,6625,52355,23878.25,3.6
582739.95,4079920.8,23150,,20805.5, , 
582763.59,4068881,368825,197000,1127900,878675,4.46
582834.95,4073068.3,7925,1225,13283.75,4263.5,3.48
582858.41,4116374.5,637200,67750,440400,429900,6.34
582934.29,4086188.3,46025,50,45415,159.3925,3.19
583006.28,4113653,523975,34500,,121722.5,3.52
583054.2,4085517.4,47250,10150,86140,38320,3.78
583100.18,4043765.8,130500,300,,749.35,2.5
583111.9,4089969.9,17300,525,,5358.75,10.2
583116.76,4098148.5,48550,1250,48167.5,2911.75,2.33
583199.95,4098208.3,, , , , 
583217.93,4021828.3,38450,1750,3473.25,3690.25,2.11
583241.03,4070147.4,39775,925,9918.5,1799.525,1.95
583247.78,4099305.8,160600,8600,,12793.5,1.49
