"","Chuska White Ware","Cibola White Ware","Coconino Buff Ware","Early White Mountain Red Ware","Little Colorado White Ware","Mesa Verde White Ware","Middle Gila Buff Ware and Gray Ware","Mimbres White Ware","Puerco Valley Red Ware","Rio Abajo White Ware","San Francisco Mountain Gray Ware","Tsegi Orange Ware","Tusayan White Ware","Upper San Juan White Ware"
"Aztec",46.622,260.5508,0,97.4324,0,284.4189,0,0.7653,0,0,0,24.2286,10.9665,0
"Pueblo Pintado",7.0857,212.207,0,4.9718,0,28.2695,0,0,0,0,0,0,1.68,0
"Morris 39",0.4553,6.4244,0,0.3388,0,38.4947,0,0,0,0,0,0.2673,0,0
"Holmes Group",0.3783,3.3522,0,0,0,19.1236,0,0,0,0,0,0,0,0
"Jaquez",21.8157,79.5543,0,4.6242,0,115.8964,0,0,0,0,0,0.2386,0,0
"Fort Wingate",0.7858,10.7699,0,5.289,0,0,0,0,0,0,0,0,0,0
"Newcomb Community",5.6673,2.504,0,0,0,0.5265,0,0,0,0,0,0,0.6569,0
"Twin Angels",3.7535,20.8926,0,1.66,0,2.6088,0,0,0,0,0,0.3411,0,0
"Skunk Springs",20.8677,11.5016,0,1.6153,1.5,2.2831,0,0,0,0,0,0.1735,0.333,0
"Crumbled House",1,3.3172,0,1.3982,0,1.3629,0,0,0,0,0,0,0,0
"LA 8240",15.5568,1.8951,0,2.1435,0,2.319,0,0,0,0,0,0,0,0
"Salmon",231.8047,23178.8627,0,255.1367,0,10713.99,0,0,0,0,0,12.9891,28.7764,0
"Kello Blancett",0,0.3082,0,0.4938,0,5.2539,0,0,0,0,0,0,0,0
"Kin Cheops II",0,10.6256,0,1.0206,0,0,0,0,0,0,0,0,0,0
"Eagle Crag",0,1.2083,0,0.5663,2.9247,0,0,0,0,0,0,0.4083,0.9902,0
"Kinlichee",0,105.9004,0,4.2139,3.3578,0.0672,0,0,0,0,0,0,13.7596,0
"Tom's Rock",0,7.6784,0,6.5392,0,0,0,0,0,0.0967,0,0,0,0
"Seven Springs",0,11.8174,0,11.599,1.3695,0,0,0,0.2665,0,0,0,0,0
