SiteID,ShortName,Name,XPos,YPos,Latitude_N,Longitude_E
0,1,Larymna,0.469547325,0.169135802,38.567348,23.281349
1,2,Ay.Ionnis,0.435802469,0.200411523,38.50249,23.25932
2,3,Meg.Katavothra,0.459670782,0.206995885,38.50143,23.30234
3,4,Ay.Marina,0.426748971,0.220164609,38.48208,23.20793
4,5,Kopai,0.404526749,0.217695473,38.501525,23.163285
5,6,Olmous,0.380658436,0.232510288,38.46783,23.13034
6,7,Akraiphnion,0.441563786,0.235802469,38.45,23.216667
7,8,Aspledon,0.338683128,0.203703704,38.540995,22.992716
8,9,Orchomenos,0.295061728,0.218518519,38.483333,22.983333
9,10,Lebedea,0.255555556,0.244032922,38.433333,22.866667
10,11,Anthedon,0.566666667,0.214403292,38.483333,23.45
11,12,Schoinos,0.477777778,0.251440329,38.40517,23.31436
12,13,Hyria,0.625925926,0.23909465,38.45197,23.56704
13,14,Aulis,0.636625514,0.25473251,38.4,23.6
14,15,Mykalessos,0.602880658,0.258847737,38.41672,23.519602
15,16,Glisas,0.533744856,0.277777778,38.378178,23.390503
16,17,Medeon,0.411111111,0.279423868,38.391084,23.177815
17,18,Onchestos,0.396296296,0.296707819,38.373269,23.150267
18,19,Haliartos,0.373251029,0.287654321,38.380377,23.09843833
19,20,Askra,0.365843621,0.323868313,38.328222,23.075384
20,21,Itonion,0.288477366,0.287654321,38.4049,22.96005
21,22,Alalkomenai,0.309876543,0.28600823,38.41,22.986
22,23,Koroneia,0.289300412,0.3,38.35,22.966667
23,24,Kabirion,0.455555556,0.319753086,38.328554,23.23973467
24,25,Thebes,0.487654321,0.319753086,38.32872,23.32191
25,26,Potniai,0.489300412,0.337860082,38.29991,23.311633
26,27,Eleon,0.577366255,0.300823045,38.35202,23.48516
27,28,Dramesi,0.656378601,0.281893004,38.37759,23.6297
28,29,Tanagra,0.640740741,0.323868313,38.316667,23.533333
29,30,Thespiai,0.405349794,0.349382716,38.295831,23.1528615
30,31,Eutresis,0.434156379,0.351851852,38.268249,23.20466
31,32,Khorsia,0.262962963,0.370781893,38.25611,22.90185
32,33,Thisbe,0.300823045,0.363374486,38.266667,22.966667
33,34,Siphai,0.351851852,0.405349794,38.181242,23.036561
34,35,Kreusis,0.3781893,0.39382716,38.208277,23.112105
35,36,Plataia,0.466255144,0.388888889,38.215556,23.266944
36,37,Hysiai,0.511522634,0.387242798,38.217217,23.344419
37,38,Erythrai,0.553497942,0.374074074,38.125,23.375
38,39,Skolos,0.571604938,0.353497942,38.309378,23.38353
39,40,Khalkis,0.645679012,0.234156379,38.45506,23.60215
40,41,Lefkandi,0.693415638,0.258024691,38.4125,23.675278
