SiteNo,Name,Period,Type,Easting,Northing,Elevation,Area,Height,DistToRiver
LJ-A,Wila Chute-:LJ29,Late Intermediate,habitation,655991,8030747,3710,58698,,
LJ-B,Chuquina-LJ17,Wankarani,habitation,663941,8031830,3710,16000,5,1.6
LJ-C,San Andres-LJ15,Wankarani,habitation,663586,8033484,3725,2500,3,0.6
LJ-D,La Barca-LJ16,Wankarani,habitation,663140,8035675,3710,7129,3,0.6
LJ-E,Chaquena-LJ28,Late Intermediate,habitation,661350,8030869,3710,21179,,
LJ-F,Husurana/Chapi Kollu-LJ14,Late Intermediate,habitation,663548,8033588,3740,20000,,
LJ-G,Pukara Uno-LJ1,Wankarani,habitation,658945,8035435,3720,7918,2.5,2.5
LJ-H,Pukara Pukara-LJ4,Wankarani,habitation,656937,8035534,3730,8033,3,4.6
LJ-I,Pusno-LJ18,Wankarani,habitation,654137,8040773,3720,5837,2,5
LJ-J,Jachakala-LJ2,Tiwanaku,habitation,658651,8035969,3720,67200,,
LJ-K,La Joya Taller-LJ0,Late Intermediate,habitation,659500,8034000,3715,17683,,
LJ-L,Pukara Uno Oeste-LJ12,Late Intermediate,habitation,658428,8035691,3730,21000,,
LJ-M,Cerro Isahuara-LJ6,Late Intermediate,habitation,658085,8035933,3830,4500,,
LJ-N,Ladera Norte-LJ-11,Late Intermediate,habitation,657783,8035934,3735,6100,,
LJ-O,LJ-5,Late Intermediate,habitation,657702,8035782,3735,5600,,
LJ-P,LJ-3,Tiwanaku,habitation,657990,8036601,3720,11000,,
LJ-Q,LJ-21,Tiwanaku,habitation,659306,8036314,3720,19963,,
LJ-R,Ladera Sur 2-LJ-10,Late Intermediate,habitation,657163,8033292,3750,1500,,
LJ-S,LJ-9,Late Intermediate,habitation,657365,8033318,3790,3700,,
LJ-T,Ladera Sur 1-LJ-8,Late Intermediate,habitation,658152,8033227,3745,2000,,
LJ-U,LJ-7,Late Intermediate,habitation,658337,8033453,3750,2000,,
LJ-V,LJ-19a,Tiwanaku,ceremonial,657688,8034394,4160,5000,,
LJ-W,LJ-19b,Inca,ceremonial,657688,8034394,4160,5000,,
LJ-13,LJ-13,Late Intermediate,habitation,660330,8032700,3730,3300,,
LJ-30,Quiviri Sur,Late Intermediate,habitation,663265,8034668,3735,963,,
LJ-31,Quiviri Norte,Late Intermediate,habitation,663293,8035084,3735,7803,,
LJ-32,Quiviri Crucero,Late Intermediate,habitation,663233,8035546,3720,1963,,
LJ-33,Titina,Late Intermediate,habitation,661566,8032481,3755,7668,,
