Key,Item Type,Publication Title,Publication Year,Authors
FUV8A7JK,journalArticle,Archaeological Review from Cambridge,2014,"Stoner, Jo"
C7MRVHWA,bookSection,Network analysis in archaeology. New approaches to regional interaction,2013,"Isaksen, Leif"
3EG6T4P6,journalArticle,American Antiquity,1991,"Peregrine, Peter"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
I3UPKTTM,journalArticle,Antiquity+,2014,"Leidwanger, Justin; Knappett, Carl; Arnaud, Pascal; Arthur, Paul; Blake, Emma; Broodbank, Cyprian; Brughmans, Tom; Evans, Tim; Graham, Shawn; Greene, Elizabeth S; Kowalzig, Barbara; Mills, Barbara; Rivers, Ray; Tartaron, Thomas F; Noort, Robert Van De"
9ZVD38UW,journalArticle,Ethnohistory,2001,"Jenkins, D."
XRWFR6XU,bookSection,Exchange systems in Prehistory,1977,"Irwin-Williams, C."
E6WA2KFG,journalArticle,American Antiquity,2010,"Merrill, Michael; Read, Dwight"
E6WA2KFG,journalArticle,American Antiquity,2010,"Merrill, Michael; Read, Dwight"
7IAMMSQ7,conferencePaper,"Digital discovery: exploring new frontiers in human heritage. Proceedings of the 34th CAA conference, Fargo, 2006",2007,"Pouncett, John; Lock, Gary"
7IAMMSQ7,conferencePaper,"Digital discovery: exploring new frontiers in human heritage. Proceedings of the 34th CAA conference, Fargo, 2006",2007,"Pouncett, John; Lock, Gary"
3IRRRUM7,journalArticle,The Archaeological Computing Newsletter,2005,"Graham, S"
K3NMCU3Z,journalArticle,Journal of Artificial Societies and Social Simulation,2012,"White, Andrew"
EINMNDRB,bookSection,Contemporary themes in archaeological computing,2002,"Jiménez, D; Chapman, D"
EINMNDRB,bookSection,Contemporary themes in archaeological computing,2002,"Jiménez, D; Chapman, D"
KKC2Q2SJ,book,,2011,"Knappett, C."
6HDF6WRG,journalArticle,Frontiers in Digital Humanities,2016,"Filet, Clara"
R76MP2K2,book,,2000,"Broodbank, C"
RGAIJ2PV,journalArticle,Nouvelles de l'archéologie,2014,"Collar, Anna; Brughmans, Tom; Coward, Fiona; Lemercier, Claire"
RGAIJ2PV,journalArticle,Nouvelles de l'archéologie,2014,"Collar, Anna; Brughmans, Tom; Coward, Fiona; Lemercier, Claire"
RGAIJ2PV,journalArticle,Nouvelles de l'archéologie,2014,"Collar, Anna; Brughmans, Tom; Coward, Fiona; Lemercier, Claire"
RGAIJ2PV,journalArticle,Nouvelles de l'archéologie,2014,"Collar, Anna; Brughmans, Tom; Coward, Fiona; Lemercier, Claire"
NNKG7UFV,journalArticle,Social networks,1990,"Alexander, M. C.; Danowski, J. A."
NNKG7UFV,journalArticle,Social networks,1990,"Alexander, M. C.; Danowski, J. A."
PGHKPT6W,book,,1968,"Clarke, D. L."
37TC37D2,bookSection,The Connected Past: challenges to network studies in archaeology and history,2016,"Peeples, Matthew A.; Mills, Barbara J.; Haas, W. Randall Jr.; Clark, Jeffery J.; Roberts, John M. Jr."
37TC37D2,bookSection,The Connected Past: challenges to network studies in archaeology and history,2016,"Peeples, Matthew A.; Mills, Barbara J.; Haas, W. Randall Jr.; Clark, Jeffery J.; Roberts, John M. Jr."
37TC37D2,bookSection,The Connected Past: challenges to network studies in archaeology and history,2016,"Peeples, Matthew A.; Mills, Barbara J.; Haas, W. Randall Jr.; Clark, Jeffery J.; Roberts, John M. Jr."
