"","Alexander, C.","Alexander, M. C.","Allen, Kathleen M S","Amati, Viviana","Apicella, Coren L.","Apolinaire, Eduardo","Arnaud, Pascal","Arthur, Paul","Ashby, Steven P.","Aubry, Thierry","Barber, Sarah B.","Barthelemy, Marc","Bastourre, Laura","Baysal, Adnan","Bentley, R. A.","Bernardini, Wesley","Bertoncello, Frédérique","Bevan, Andrew","Bikoulis, Peter","Bintliff, J.","Blair, Elliot Hampton","Blake, Emma","Borck, Lewis","Bordoni, Luciana","Brandes, Ulrik","Branting, Scott","Breiger, Ronald L","Breiger, Ronald L.","Briggs, Keith","Broodbank, Cyprian","Brughmans, Tom","Bruzek, J.","Buchanan, Briggs","Caccioli, Fabio","Campos, Daniel","Carmack, H. Jane","Chapman, D","Christakis, Nicholas a.","Çiftçi, Yahya","Clark, Jeffery J.","Clarke, D. L.","Classen, Erich","Clauset, Aaron","Cochrane, E. E.","Collar, Anna","Collard, Mark","Coscia, Michele","Coutu, Ashley","Coward, Fiona","Crabtree, Stefani A.","Crema, Enrico R.","Danowski, J. A.","Doelle, William H.","Doran, J. E.","Dunn, Hayley","Düring, Marten","Earl, Graeme","Engelbrecht, William","Evans, Sarah","Evans, Tim S.","Fábrega-Álvarez, Pastor","Feinman, Gary M.","Felder, Kathrin","Filet, Clara","Fowler, James H.","Fraser, David","Froese, Tom","Fulminante, Francesca","Galeta, P.","Gamble, Clive","Gerding, Henrik","Gershenson, Carlos","Gingerich, Joseph A. M.","Gjesfjeld, Erik","Golitko, Mark","Graham, Shawn","Grau Mira, Ignacio","Gravel-Miguel, Claudine","Greene, Elizabeth S","Groenhuijzen, Mark R.","Haas, W. Randall Jr.","Hage, Per","Hamilton, Marcus J.","Harary, Frank","Harding, A","Hart, John P.","Hauser, Mark W.","Hidalgo, César A .","Hill, J Brett","Hill, J. Brett","Hiorns, R. W.","Hodder, Ian","Hodson, F. R.","Hofman, Corinne","Holst, Mads Kähler","Hoogland, Menno","Houseman, Michael","Hunt, T. L.","Huntley, Deborah L","Huntley, Deborah L.","Hutchinson, P.","Ibañez, Juan José","Irwin-Williams, C.","Irwin, GJ","Isaksen, Leif","Jenkins, D.","Jennings, Benjamin","Jiménez, D","Johansen, Kasper Lambert","Johnson, Kent M.","Jørgensen, Erlend Kirkeng","Kaiser, Alan","Kandler, Anne","Kassabaum, Megan C.","Keay, Simon","Kendall, D. G.","Kent, Susan","Kerig, Tim","Khalidi, Lamya","Kilby, J. David","Kingsford, Carl","Knappett, Carl","Kohler, Timothy A","Kowalzig, Barbara","Lake, M.","Larson, Frances","Laurenzi, Andy","Laursen, Steffen Terp","Lehmann, Sune J .","Leidwanger, Justin","Lemercier, Claire","Lipo, C.","Livarda, Alexandra","Lock, Gary","Luís, Luís","Mackie, Quentin","Macri, Martha J.","Mangado Llach, Javier","Mans, Jimmy","Manzanilla, Linda R","Marlowe, Frank W.","Martín, Alexander J.","Maschner, Herbert D. G.","Matias, Henrique","Meierhoff, James","Méndez, Vicenç","Menze, Bjoern H","Merrill, Michael","Mickel, Allison","Mills, Barbara J.","Mizoguchi, Koji","Mol, Angus","Müller, Ulrich","Munson, Jessica L.","Murillo Herrera, Mauricio","Navlakha, Saket","Nazaroff, Adam Joseph","Nelson, Erin Stevens","Noort, Robert Van De","Nuninger, Laure","Orengo, Hector A.","Orser Jr., CharlesE.","Ortega, David","Orton, Clive","Ossa, Alanna","Östborn, Per","Pailes, Matthew","Parcero-Oubiña, César","Park, Juyong","Pearce, Eiluned","Peeples, Matthew A.","Peregrine, Peter","Petch, Alison","Phillips, Stephen Colby","Poblome, Jeroen","Potts, David","Pouncett, John","Preiser-Kapeller, Johannes","Prufer, Keith","Read, Dwight","Riede, Felix","Rivers, Ray","Roberts, John M. Jr.","Rothman, MS","Ryan, Susan C.","Santley, Robert S.","Schich, Maximilian","Scholnick, Jonathan B.","Schortman, Edward M.","Schweizer, Thomas","Seland, Eivind Heldaas","Shackley, M Steven","Shemming, Jake","Shennan, S. J.","Shuchat, A.","Sindbæk, S. M.","Sladek, V.","Smejda, L.","Smith, Monica L.","Sosna, D.","Steiner, James","Stoner, Jo","Suchowska-ducke, Paulina","Swadling, Pamela","Swanson, Steve","Tartaron, Thomas F","Teira, Luís","Terrell, John Edward","Torrence, Robin","Torres, Joshua M.","Trowbridge, Meaghan","Tsirogiannis, Christos","Tsirogiannis, Constantinos","Ur, Jason a","Urban, Patricia a.","Valcárcel Rojas, Roberto","van der Leeuw, S. E.","van Garderen, Mereke","Van Oyen, Astrid","Verhagen, Philip","Verlaan, Theo","Watts, Joshua","Weidele, Daniel","Weingart, Scott","Wernke, Steven a.","White, Andrew","White, Devin A.","Williams, Patrick Ryan","Wilson, Alan","Wolfe, A.W.","Zeitlyn, David","Zimmerman, A.","Zubrow, Ezra B W"
"24QNVV37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29GVMCNZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2QC8N5RN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2QU9ZNUG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2T8HPW5E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37TC37D2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3AE476GE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3DWAFZAV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3E2WZ58Z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3EG6T4P6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
