ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
1,Aerasu,Bhagirathi River,Perennial,Aerasu,West,Fortalice,North,1,Saddle,25,Berinag,2658,78.444319,30.722867,486
2,Shahastrabahu,Yamuna River,Perennial,Shahastrabahu,East,Fortalice,North,174,Other,35,"Damta, Simala, Chakrata, Saknidhar",1877,78.213972,30.812897,351
3,Raj_1,Badiyar Gad,Perennial,Raj_1,North,Fortalice,West,161,Other,15,"Damta, Simala, Chakrata, Saknidhar",1955,78.239375,30.840031,1058
4,Vojri,Yamuna River,Perennial,Vojri,South West,Fortalice,South,193,Isolated hill,25,Berinag,2212,78.333192,30.906094,171
5,DarGarhi,N/A,Seasonal,DarGarhi,East,Fortalice,East,49,Ridge,15,"Damta, Simala, Chakrata, Saknidhar",1508,78.245814,30.64415,490
6,Renuka,Nakuri Gad,Seasonal,Renuka,North,Fortalice,South,169,Ridge,25,Berinag,2261,78.343467,30.743094,495
7,Agar,Panchrad Gad,Perennial,Agar,South East,Fortalice,North,2,Ridge,25,"Chaili, Ramgarh, Amri",616,79.017542,29.909397,732
8,BungaKhal,Bali Gad,Seasonal,BungaKhal,South,Fortalice,West,33,Other,40,Nagthat,1371,78.936797,30.111392,120
9,Ghandiyal_1,Western Nayar River,Perennial,Ghandiyal_1,South East,Fortalice,North-West,80,Saddle,25,Nagthat,1296,78.919917,30.111389,328
10,Junia,Juniya Gad,Intermittent,Junia,North East,Fortalice,South,105,Isolated hill,25,"Blaini,Krol",2050,79.129717,29.868406,1078
11,Lod/ Lodi,Chorkhanda Gad,Seasonal,Lod/ Lodi,South West,Fortalice,West,130,Saddle,15,Nagthat,1669,78.999442,29.872539,720
12,Chana,Panchrad Gad,Perennial,Chana,North East,Fortalice,North,38,Saddle,30,Nagthat,1626,78.978958,29.917083,840
13,Garhkot_5,Panchrad Gad,Perennial,Garhkot_5,North west,Fortalice,South,77,Saddle,15,Nagthat,1612,78.979836,29.919803,630
14,Shaitan,Bagar Gad,Intermittent,Shaitan,South,Fortalice,South,175,Ridge,15,"Chaili, Ramgarh, Amri",2176,79.070792,29.872517,737
15,Chhetra,N/A,Intermittent,Chhetra,East,Fortalice,South,44,Ridge,25,Chandpur,1979,78.883547,29.884794,506
16,Chaundkot,Dekhapani Gad,Intermittent,Chaundkot,South West,Fort,North,43,Ridge,25,Nagthat,2040,78.900972,29.978081,288
17,Char,Pin Gad,Seasonal,Char,North East,Fortalice,West,41,Other,25,Nagthat,1564,78.904308,30.0354,178
18,Govin,Sari gad,Seasonal,Govin,North East,Fortalice,West,85,Saddle,25,Nagthat,1296,78.906561,29.949958,471
19,Kim,Machlad Gad,Perennial,Kim,South West,Fortalice,East,120,Isolated hill,25,Nagthat,1437,78.918425,29.964506,310
20,Naugarh,N/A,Intermittent,Naugarh,North East,Fortalice,South-west,152,Ridge,30,"Chaili, Ramgarh, Amri",2393,78.936606,30.040467,270
21,Thandar,N/A,Intermittent,Thandar,North,Fortalice,North-West,185,Ridge,15,Nagthat,1203,78.893981,30.063439,180
22,Gahad_4,Bhurai Gad,Seasonal,Gahad_4,South West,Fortalice,East,65,Ridge,15,Chandpur,1558,78.791981,30.008472,843
23,Garhi_4,N/A,Intermittent,Garhi_4,South East,Fortalice,West,69,Ridge,15,Chandpur,1786,78.818006,29.939781,581
24,Guraad,DevGad,Seasonal,Guraad,East,Fortalice,East,88,Saddle,25,Chandpur,1423,78.838344,29.940297,269
25,Massur,Kali Gad,Intermittent,Massur,East,Fortalice,East,139,Other,25,"Chaili, Ramgarh, Amri",1377,79.108144,29.753394,24
26,Gujdu,N/A,Seasonal,Gujdu,West,Fort,North-West,87,Ridge,25,Nagthat,2378,79.088531,29.781467,454
27,Khamlekh,N/A,Intermittent,Khamlekh,South,Fortalice,North,117,Ridge,45,"Chaili, Ramgarh, Amri",2155,79.127411,29.784339,54
28,Sabli,Raona Gad,Intermittent,Sabli,North East,Fort,West,171,Ridge,25,Nagthat,2407,79.012739,29.790731,788
29,Dobar,Bunga Gad,Intermittent,Dobar,East,Fortalice,East,60,Ridge,25,"Blaini,Krol",1656,78.822878,29.779742,504
30,Ban_3,Dhungdhar Gad,Seasonal,Ban_3,West,Fortalice,East,19,Ridge,25,Nagthat,1965,78.951103,29.790256,871
31,Kolli,N/A,Intermittent,Kolli,North East,Fort,West,121,Isolated hill,15,Chandpur,1511,78.880489,29.824033,938
32,Ajmir,N/A,Intermittent,Ajmir,East,Fortalice,North,3,Isolated hill,25,"Blaini,Krol",1680,78.455197,29.878019,480
33,Garhkot_1,Medi Gad,Seasonal,Garhkot_1,East,Fortalice,West,73,Saddle,30,"Blaini,Krol",378,78.705014,29.886614,203
