"","Knossos","Malia","Phaistos","Kommos","A.Triadha","P.kastro","Zakros","Gournia","Chania","Akrotiri","Phylakopi","Kastri","Naxos","Kea","Karpathos","Rhodes","Kos","Miletus","Iasos","Samos","Petras","Rethymno","Paroikia","Amorgos","Ios","Aegina","Mycenae","A.Stephanos","Lavrion","Kasos","Kalymnos","Myndus","Cesme","Akbuk","Menelaion","Argos","Lerna","Asine","Eleusis"
"Knossos",0,42,120,120,120,130,138,95,125,123,180,223,210,295,200,310,283,330,325,311,105,75,210,195,163,320,372,295,295,170,260,278,360,320,362,354,336,325,342
"Malia",42,0,180,180,180,90,100,54,145,118,185,243,204,294,163,273,260,305,295,300,65,95,204,183,160,330,385,312,308,130,235,251,349,293,379,368,353,341,352
"Phaistos",120,180,0,0,0,183,173,139,213,233,290,244,320,405,262,408,408,472,461,475,215,90,320,305,273,430,482,308,405,238,400,415,547,457,375,397,383,373,431
"Kommos",120,180,0,0,0,183,173,139,213,233,290,244,320,405,262,408,408,472,461,475,215,90,320,305,273,430,482,308,405,238,400,415,547,457,375,397,383,373,431
"A.Triadha",120,180,0,0,0,183,173,139,213,233,290,244,320,405,262,408,408,472,461,475,215,90,320,305,273,430,482,308,405,238,400,415,547,457,375,397,383,373,431
"P-kastro",130,90,183,183,183,0,17,70,230,155,243,330,232,340,90,215,218,277,270,279,28,180,233,205,195,395,455,395,358,61,212,226,360,268,457,429,414,404,417
"Zakros",138,100,173,173,173,17,0,83,246,169,256,339,244,359,96,228,233,288,283,291,48,195,244,217,208,400,468,409,364,68,225,238,375,281,476,440,425,415,427
"Gournia",95,54,139,139,139,70,83,0,196,142,219,293,224,327,143,258,252,308,300,303,39,144,225,203,186,368,431,360,332,108,240,252,373,295,427,406,391,380,384
"Chania",125,145,213,213,213,230,246,196,0,156,147,116,214,242,310,390,356,370,385,366,211,60,212,225,177,256,288,189,243,271,328,342,375,385,256,270,254,244,282
"Akrotiri",123,118,233,233,233,155,169,142,156,0,91,211,91,185,200,245,203,216,230,205,144,135,86,79,47,253,318,272,201,169,170,184,245,226,339,296,281,270,252
"Phylakopi",180,185,290,290,290,243,256,219,147,91,0,147,89,107,291,334,279,267,289,242,228,158,84,120,70,148,219,198,112,265,247,261,238,275,264,191,176,165,165
"Kastri",223,243,244,244,244,330,339,293,116,211,147,0,233,202,391,457,411,412,434,398,303,161,229,264,208,187,202,87,194,359,376,390,372,429,154,177,162,124,212
"Naxos",210,204,320,320,320,232,244,224,214,91,89,233,0,117,234,293,188,185,207,152,226,209,13,67,53,198,289,289,140,247,170,184,162,195,356,263,248,237,202
"Kea",295,294,405,405,405,340,359,327,242,185,107,202,117,0,377,378,291,266,302,235,324,260,119,175,145,90,207,247,28,347,262,281,195,286,309,183,168,157,91
"Karpathos",200,163,262,262,262,90,96,143,310,200,291,391,234,377,0,147,175,260,250,265,108,253,263,229,232,433,507,455,397,30,193,196,353,251,517,480,465,454,460
"Rhodes",310,273,408,408,408,215,228,258,390,245,334,457,293,378,147,0,106,189,179,202,228,351,287,244,265,462,543,518,402,162,133,123,298,170,580,521,506,495,482
"Kos",283,260,408,408,408,218,233,252,356,203,279,411,188,291,175,106,0,78,66,94,227,329,197,140,191,367,461,446,314,175,35,17,191,63,508,463,448,437,365
"Miletus",330,305,472,472,472,277,288,308,370,216,267,412,185,266,260,189,78,0,70,37,282,346,188,148,215,356,455,459,297,247,69,59,146,50,521,440,425,414,348
"Iasos",325,295,461,461,461,270,283,300,385,230,289,434,207,302,250,179,66,70,0,88,276,352,215,176,230,386,485,490,332,240,65,49,197,41,552,446,431,420,384
"Samos",311,300,475,475,475,279,291,303,366,205,242,398,152,235,265,202,94,37,88,0,283,332,163,132,194,335,427,442,275,252,81,76,117,70,504,400,385,374,336
"Petras",105,65,215,215,215,28,48,39,211,144,228,303,226,324,108,228,227,282,276,283,0,157,223,197,185,375,436,372,337,76,216,230,353,272,434,417,402,391,388
"Rethymno",75,95,90,90,90,180,195,144,60,135,158,161,209,260,253,351,329,346,352,332,157,0,201,206,164,281,325,235,263,220,296,308,368,349,297,306,290,280,309
"Paroikia",210,204,320,320,320,233,244,225,212,86,84,229,13,119,263,287,197,188,215,163,223,201,0,62,44,210,294,282,146,239,188,203,168,206,344,246,231,220,185
"Amorgos",195,183,305,305,305,205,217,203,225,79,120,264,67,175,229,244,140,148,176,132,197,206,62,0,67,254,333,315,203,199,124,141,175,164,377,250,235,224,197
"Ios",163,160,273,273,273,195,208,186,177,47,70,208,53,145,232,265,191,215,230,194,185,164,44,67,0,207,286,266,159,204,177,192,211,229,328,252,249,250,212
"Aegina",320,330,430,430,430,395,400,368,256,253,148,187,198,90,433,462,367,356,386,335,375,281,210,254,207,0,122,237,77,410,356,371,289,383,299,157,142,131,38
"Mycenae",372,385,482,482,482,455,468,431,288,318,219,202,289,207,507,543,461,455,485,427,436,325,294,333,286,122,0,252,193,477,451,465,394,476,220,20,40,50,145
"A.Stephanos",295,312,308,308,308,395,409,360,189,272,198,87,289,247,455,518,446,459,490,442,372,235,282,315,266,237,252,0,241,424,429,445,423,472,62,226,209,212,246
"Lavrion",295,308,405,405,405,358,364,332,243,201,112,194,140,28,397,402,314,297,332,275,337,263,146,203,159,77,193,241,0,369,290,309,214,314,303,167,152,141,77
"Kasos",170,130,238,238,238,61,68,108,271,169,265,359,247,347,30,162,175,247,240,252,76,220,239,199,204,410,477,424,369,0,179,194,332,236,486,461,446,435,418
"Kalymnos",260,235,400,400,400,212,225,240,328,170,247,376,170,262,193,133,35,69,65,81,216,296,188,124,177,356,451,429,290,179,0,19,175,58,491,419,404,393,353
"Myndus",278,251,415,415,415,226,238,252,342,184,261,390,184,281,196,123,17,59,49,76,230,308,203,141,192,371,465,445,309,194,19,0,175,47,507,431,416,405,366
"Cesme",360,349,547,547,547,360,375,373,375,245,238,372,162,195,353,298,191,146,197,117,353,368,168,175,211,289,394,423,214,332,175,175,0,184,485,369,354,343,295
"Akbuk",320,293,457,457,457,268,281,295,385,226,275,429,195,286,251,170,63,50,41,70,272,349,206,164,229,383,476,472,314,236,58,47,184,0,534,452,437,425,387
"Menelaion",362,379,375,375,375,457,476,427,256,339,264,154,356,309,517,580,508,521,552,504,434,297,344,377,328,299,220,62,303,486,491,507,485,534,0,200,180,218,308
"Argos",354,368,397,397,397,429,440,406,270,296,191,177,263,183,480,521,463,440,446,400,417,306,246,250,252,157,20,226,167,461,419,431,369,452,200,0,20,36,165
"Lerna",336,353,383,383,383,414,425,391,254,281,176,162,248,168,465,506,448,425,431,385,402,290,231,235,249,142,40,209,152,446,404,416,354,437,180,20,0,15,158
"Asine",325,341,373,373,373,404,415,380,244,270,165,124,237,157,454,495,437,414,420,374,391,280,220,224,250,131,50,212,141,435,393,405,343,425,218,36,15,0,152
"Eleusis",342,352,431,431,431,417,427,384,282,252,165,212,202,91,460,482,365,348,384,336,388,309,185,197,212,38,145,246,77,418,353,366,295,387,308,165,158,152,0
