"","Swingle's Sample","Bajada Site","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Elliott Site","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Reeve Ruin","Adobe Hill","Curtis","Jose Solas Ruin","Piper Springs","Wright","Second Canyon Compound","Armer Gulch Ruin","AZ U:4:009 (ASM)","Indian Point Complex","Pinto Point Mound","Tonto Cliff Dwellings","VIV Platform Mound","AZ W:11:12","Foote Canyon Pueblo","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","Maddox Ranch","Pendleton","Clanton Draw","Box Canyon","LA 39035","Stewart Ranch","Double Adobe","Cloverdale Park","Saddle Bronc","Kinishba","Awat'ovi","Point of Pines Ruin","Techado Spring","Horse Camp Mill","Ojo Pueblo","Eagle Crag","Wide Reed Ruin","Togetzoge","Gila Pueblo","Chevelon","Haby Ranch","Hilltop Ruin","Dinwiddie","Hukovi","Old Shongopavi I","Pink Arrow","Kokopnyama","Spear Ranch","Fischer site","Yuma Wash Site","Black Mountain Pueblo","Sanrace Cliff Dwelling","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Cock's Comb Ridge","Pottery Point Ruin","Upper Coon Creek","AZ C:1:37","Granite Basin","Canyon Creek","Blue House Mountain","Spotted Mountain Pueblo","Canyon Butte Pueblo","Ruins Tank","Carrizo Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","Pinedale Ruin","Grasshopper","Brush Mountain","Red Canyon Pueblo","Blue Springs Ruin","Tundastusa","Ormand Village","Villareal II","Dutch Ruin","Spier 175","Rattlesnake Point","Sherwood Ranch","Baca Pueblo","Table Rock Pueblo","Puerco Ruin","Wallace Tank Ruin","Bidahochi","Cottonwood Creek","Homol'ovi I","Halona:wa South","Atsinna","Cienega","Mirabal","North Atsinna","Yellowhouse","Pueblo de los Muertos","Upper Pescado","LA 15560","Pescado West","Lower Pescado Ruin","Brooklyn Basin","Richinbar Site (B)","Pueblo Pato","Rattlesnake House I & II","Pueblo La Plata","Badger Springs Site","Boss Ranch","Slaughter Ranch","Old Caves","Pueblo Grande","Polles Pueblo","Mud Springs Ruin","Chavez Pass Pueblo","Cornville Ruin","Sugarloaf Site","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Montezuma Castle A & B","Kinnikinnick","Grapevine Pueblo","Clear Creek Ruin","Zanardelli Site","Cline Terrace Mound, Monster Ruin","Los Guanacos","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","AZ CC:1:3","Fort Grant Pueblo","Mercer Ruin","Lower Pescado Village","Tuzigoot","Crescent Site","Rattlesnake Mesa","Stone Axe Ruin","Mats'a:kya Ruin","Webb Ruin","AZ CC:2:185","Rabid Ruin","Old Shongopavi II","Yuma Wash--Tucson","Cactus Forest","Black Axe","Garden Canyon","Rillito Fan","Veteado Pueblo"
"Swingle's Sample","1","0.903","0.814","0.706","0.963","0.805","0.409","0.715","0.985","0.894","0.796","0.608","0.425","0.955","0.824","0.96","0.871","0.948","0.986","0.839","0.444","0.101","0.78","0.922","0.389","0.775","0.933","0.049","0","0","0","0.008","0","0","0.678","0.075","0.032","0.375","0.301","0.006","0.285","0.687","0.084","0.135","0.46","0.536","0.288","0","0","0","0","0","0","0.114","0.811","0.769","0.049","0.99","0.086","0.704","0","0","0","0","0.477","0.201","0.04","0.062","0.192","0.59","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.373","0.219","0.018","0.012","0.088","0.007","0.417","0.142","0.035","0","0.029","0","0.052","0.449","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.479","0.413","0.367","0.017","0.576","0.037","0.158","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.021","0.138","0.956","0.121","0.779","0.245","0.668","0","0","0.004","0.034","0.144","0.003","0.076","0","0.018","0.828","0.061","0.757","0.401","0.169","0","0.012","0.767","0.585","0.065","0.041","0.864","0.091","0.052","0","0.012","0.963","0.038","0.075","0.72","0"
"Bajada Site","0.903","1","0.805","0.708","0.883","0.821","0.486","0.799","0.906","0.892","0.864","0.608","0.502","0.943","0.917","0.883","0.948","0.891","0.898","0.819","0.509","0.099","0.78","0.884","0.382","0.754","0.883","0.049","0","0","0","0.008","0","0","0.772","0.078","0.032","0.375","0.328","0.006","0.309","0.716","0.084","0.135","0.46","0.536","0.301","0","0","0","0","0","0","0.114","0.794","0.749","0.049","0.912","0.086","0.797","0","0","0","0","0.561","0.277","0.117","0.062","0.192","0.57","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.373","0.219","0.018","0.012","0.088","0.007","0.514","0.173","0.132","0","0.029","0","0.052","0.449","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.479","0.413","0.367","0.017","0.576","0.041","0.158","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.021","0.124","0.883","0.135","0.779","0.245","0.668","0","0","0.004","0.028","0.14","0.003","0.076","0","0.018","0.826","0.158","0.76","0.493","0.169","0","0.012","0.864","0.661","0.065","0.041","0.864","0.168","0.052","0","0.01","0.883","0.038","0.054","0.699","0"
"Ash Terrace","0.814","0.805","1","0.867","0.777","0.963","0.575","0.74","0.825","0.858","0.914","0.794","0.582","0.814","0.827","0.774","0.856","0.818","0.824","0.911","0.533","0.101","0.774","0.791","0.395","0.778","0.774","0.049","0","0","0","0.008","0","0","0.69","0.115","0.032","0.375","0.328","0.006","0.297","0.699","0.084","0.135","0.46","0.536","0.301","0","0","0","0","0","0","0.114","0.791","0.915","0.049","0.82","0.086","0.716","0","0","0","0","0.489","0.326","0.198","0.062","0.192","0.612","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.373","0.219","0.018","0.012","0.088","0.007","0.429","0.154","0.047","0","0.029","0","0.052","0.449","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.479","0.413","0.367","0.017","0.576","0.049","0.158","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.05","0.138","0.802","0.161","0.774","0.273","0.697","0.029","0.028","0.008","0.062","0.161","0.031","0.076","0","0.018","0.783","0.073","0.774","0.413","0.169","0","0.012","0.779","0.625","0.065","0.041","0.782","0.249","0.08","0","0.04","0.789","0.038","0.108","0.762","0"
"Lost Mound","0.706","0.708","0.867","1","0.67","0.885","0.619","0.724","0.717","0.733","0.813","0.793","0.584","0.715","0.714","0.667","0.758","0.685","0.716","0.783","0.521","0.108","0.673","0.69","0.398","0.697","0.668","0.056","0.006","0","0.002","0.014","0.006","0.002","0.704","0.095","0.032","0.375","0.327","0.006","0.306","0.708","0.084","0.135","0.46","0.536","0.307","0","0.002","0.006","0.002","0.004","0.006","0.12","0.685","0.841","0.055","0.713","0.088","0.708","0","0","0","0","0.499","0.336","0.327","0.068","0.194","0.618","0.006","0.002","0.063","0.004","0.006","0.053","0.002","0.002","0.077","0.002","0.002","0.01","0.094","0.199","0.314","0.379","0.221","0.02","0.014","0.09","0.013","0.439","0.164","0.063","0.002","0.035","0.002","0.059","0.455","0.111","0.095","0.007","0.009","0.003","0.006","0.006","0.006","0.006","0.006","0.004","0.006","0.006","0.004","0.002","0.002","0.018","0.481","0.42","0.367","0.019","0.576","0.048","0.158","0","0.035","0.111","0.241","0.036","0.002","0.002","0","0","0.002","0.006","0","0.044","0.024","0.145","0.669","0.142","0.667","0.247","0.669","0.005","0.002","0.007","0.037","0.149","0.006","0.076","0","0.018","0.675","0.089","0.735","0.425","0.171","0.004","0.014","0.709","0.635","0.071","0.046","0.675","0.339","0.055","0","0.019","0.672","0.045","0.082","0.703","0.004"
"Dudleyville Mound","0.963","0.883","0.777","0.67","1","0.768","0.372","0.686","0.948","0.857","0.76","0.571","0.389","0.934","0.804","0.997","0.834","0.936","0.954","0.816","0.408","0.101","0.78","0.909","0.383","0.757","0.933","0.049","0","0","0","0.008","0","0","0.658","0.043","0.022","0.375","0.281","0.006","0.265","0.667","0.084","0.135","0.46","0.536","0.269","0","0","0","0","0","0","0.114","0.797","0.752","0.049","0.957","0.086","0.685","0","0","0","0","0.448","0.164","0.003","0.062","0.192","0.572","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.373","0.219","0.018","0.012","0.088","0.007","0.398","0.123","0.016","0","0.029","0","0.052","0.449","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.479","0.399","0.367","0.017","0.576","0.018","0.149","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.016","0.127","0.956","0.101","0.779","0.245","0.668","0","0","0.004","0.031","0.141","0.003","0.076","0","0.018","0.822","0.042","0.72","0.38","0.169","0","0.012","0.748","0.548","0.065","0.041","0.856","0.055","0.051","0","0.012","0.987","0.038","0.058","0.703","0"
"Leaverton","0.805","0.821","0.963","0.885","0.768","1","0.598","0.752","0.816","0.829","0.917","0.787","0.596","0.826","0.825","0.765","0.871","0.78","0.815","0.88","0.535","0.107","0.771","0.787","0.395","0.784","0.765","0.055","0.006","0","0","0.014","0.006","0","0.72","0.093","0.032","0.375","0.328","0.006","0.309","0.716","0.084","0.135","0.46","0.536","0.307","0","0","0.006","0","0.006","0.006","0.12","0.782","0.921","0.055","0.811","0.086","0.741","0","0","0","0","0.513","0.351","0.235","0.068","0.192","0.616","0.006","0","0.063","0.006","0.006","0.053","0","0","0.075","0","0","0.008","0.093","0.198","0.314","0.379","0.219","0.018","0.012","0.088","0.013","0.453","0.173","0.077","0","0.035","0","0.058","0.455","0.111","0.095","0.006","0.008","0.001","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0","0","0.016","0.479","0.419","0.367","0.017","0.576","0.047","0.158","0","0.035","0.111","0.239","0.036","0","0","0","0","0","0.006","0","0.043","0.021","0.144","0.765","0.139","0.765","0.245","0.668","0.002","0","0.004","0.034","0.146","0.003","0.076","0","0.018","0.773","0.103","0.786","0.438","0.169","0.006","0.012","0.804","0.649","0.071","0.047","0.773","0.28","0.052","0","0.018","0.768","0.044","0.079","0.733","0.006"
"Camp Village","0.409","0.486","0.575","0.619","0.372","0.598","1","0.681","0.42","0.44","0.583","0.595","0.946","0.438","0.55","0.369","0.538","0.393","0.419","0.487","0.55","0.101","0.369","0.386","0.384","0.393","0.369","0.049","0","0","0","0.008","0","0","0.641","0.101","0.032","0.369","0.337","0.006","0.309","0.417","0.084","0.135","0.369","0.369","0.301","0","0","0","0","0","0","0.114","0.386","0.541","0.049","0.415","0.086","0.481","0","0","0","0","0.798","0.711","0.623","0.062","0.192","0.413","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.369","0.219","0.018","0.012","0.088","0.007","0.661","0.173","0.187","0","0.029","0","0.052","0.369","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.369","0.384","0.367","0.017","0.369","0.049","0.158","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.03","0.138","0.377","0.147","0.369","0.253","0.377","0.009","0.008","0.008","0.042","0.152","0.011","0.076","0","0.018","0.378","0.458","0.438","0.79","0.169","0","0.012","0.577","0.824","0.065","0.041","0.377","0.674","0.06","0","0.02","0.38","0.038","0.088","0.411","0"
"High Mesa","0.715","0.799","0.74","0.724","0.686","0.752","0.681","1","0.718","0.747","0.816","0.634","0.703","0.751","0.868","0.683","0.813","0.711","0.71","0.715","0.536","0.102","0.683","0.697","0.396","0.696","0.683","0.05","0.001","0","0","0.009","0.001","0","0.928","0.103","0.032","0.375","0.341","0.006","0.309","0.716","0.084","0.135","0.46","0.536","0.301","0","0","0.001","0","0.001","0.001","0.115","0.695","0.695","0.05","0.724","0.086","0.795","0","0","0","0","0.749","0.465","0.305","0.063","0.192","0.585","0.001","0","0.058","0.001","0.001","0.048","0","0","0.075","0","0","0.008","0.088","0.193","0.309","0.373","0.219","0.018","0.012","0.088","0.007","0.689","0.173","0.187","0","0.03","0","0.053","0.449","0.106","0.09","0.003","0.003","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0.016","0.479","0.414","0.367","0.017","0.576","0.05","0.158","0","0.035","0.106","0.239","0.031","0","0","0","0","0","0.001","0","0.038","0.034","0.138","0.695","0.152","0.683","0.258","0.681","0.014","0.013","0.008","0.047","0.158","0.016","0.076","0","0.018","0.691","0.334","0.738","0.673","0.169","0.001","0.012","0.89","0.849","0.066","0.042","0.691","0.355","0.065","0","0.026","0.698","0.039","0.08","0.708","0.001"
"Elliott Site","0.985","0.906","0.825","0.717","0.948","0.816","0.42","0.718","1","0.901","0.807","0.619","0.436","0.958","0.827","0.945","0.882","0.948","0.988","0.847","0.455","0.101","0.78","0.922","0.389","0.778","0.933","0.049","0","0","0","0.008","0","0","0.681","0.082","0.036","0.379","0.308","0.011","0.292","0.69","0.088","0.139","0.464","0.54","0.291","0","0","0","0","0","0","0.114","0.815","0.777","0.049","0.984","0.086","0.711","0","0","0","0","0.48","0.211","0.051","0.062","0.192","0.598","0","0","0.057","0","0","0.047","0","0","0.075","0","0","0.008","0.087","0.192","0.308","0.373","0.219","0.018","0.012","0.088","0.007","0.421","0.145","0.042","0","0.029","0","0.052","0.449","0.105","0.089","0.003","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0.016","0.479","0.413","0.367","0.017","0.576","0.045","0.163","0","0.035","0.105","0.239","0.03","0","0","0","0","0","0","0","0.037","0.021","0.138","0.945","0.124","0.779","0.245","0.668","0","0","0.004","0.034","0.144","0.003","0.076","0","0.018","0.832","0.064","0.765","0.404","0.169","0","0.012","0.77","0.596","0.065","0.041","0.869","0.102","0.052","0","0.012","0.948","0.038","0.083","0.728","0"
"Bayless Ruin","0.894","0.892","0.858","0.733","0.857","0.829","0.44","0.747","0.901","1","0.848","0.714","0.462","0.901","0.861","0.854","0.894","0.922","0.893","0.884","0.551","0.103","0.781","0.872","0.397","0.779","0.854","0.051","0.001","0","0","0.009","0.001","0","0.698","0.173","0.032","0.375","0.335","0.006","0.304","0.706","0.084","0.135","0.46","0.536","0.302","0","0","0.001","0","0.001","0.001","0.115","0.811","0.773","0.051","0.9","0.086","0.723","0","0","0","0","0.496","0.223","0.064","0.063","0.192","0.597","0.001","0","0.058","0.001","0.001","0.048","0","0","0.075","0","0","0.008","0.089","0.194","0.309","0.374","0.219","0.018","0.012","0.088","0.008","0.436","0.161","0.055","0","0.03","0","0.054","0.45","0.106","0.09","0.004","0.004","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0.016","0.479","0.415","0.367","0.017","0.576","0.05","0.158","0","0.035","0.106","0.239","0.031","0","0","0","0","0","0.001","0","0.039","0.104","0.14","0.898","0.221","0.779","0.327","0.697","0.084","0.082","0.008","0.116","0.162","0.085","0.076","0","0.018","0.829","0.081","0.78","0.42","0.169","0.001","0.012","0.786","0.607","0.066","0.042","0.862","0.114","0.134","0","0.096","0.869","0.04","0.121","0.806","0.001"
