Site,Clust1,Clust2,Clust3,Clust4,Clust5,Clust6,Clust7,Clust8,Clust9,Clust10
Apache Creek,7,3,6,16,6,1,1,2,0,0
Atsinna,0,12,26,5,0,1,6,0,7,0
Baca Pueblo,0,9,3,12,1,2,5,0,16,1
Casa Malpais,2,15,7,28,17,16,2,5,1,0
Cienega,2,28,34,2,0,10,11,0,5,1
Coyote Creek,10,13,8,30,20,5,1,8,0,5
Foote Canyon,12,21,1,12,8,8,3,15,1,1
Garcia Ranch,2,8,6,4,6,4,1,0,0,0
Heshotauthla,0,41,22,9,1,12,4,0,1,0
Hinkson,2,27,17,23,5,10,3,1,3,1
Hooper Ranch,15,8,8,28,25,3,5,4,0,0
Horse Camp Mill,9,13,13,38,18,4,4,4,3,0
Hubble Corner,14,11,8,21,8,5,0,7,0,1
Jarlosa,0,17,7,1,0,10,4,0,2,0
Los Gigantes,0,31,33,0,0,8,3,0,2,0
Mineral Creek Pueblo,14,13,11,14,5,3,4,2,0,3
Mirabal,0,37,46,3,1,12,1,0,3,0
Ojo Bonito,0,9,5,3,0,2,3,0,4,0
Pescado Cluster,1,59,49,4,2,13,0,0,1,0
Platt Ranch,8,34,13,9,5,29,3,5,0,0
Pueblo de los Muertos,0,31,49,4,0,7,3,0,11,0
Rudd Creek Ruin,3,8,2,14,7,0,1,1,1,2
Scribe S,0,29,41,10,1,8,2,0,0,0
Spier 170,0,11,8,0,1,3,4,0,5,0
Techado Springs,7,4,4,30,10,2,2,3,1,3
Tinaja,0,10,14,1,2,4,1,0,3,0
Tri-R Pueblo,15,8,4,18,7,6,1,3,1,0
UG481,12,15,10,26,15,4,3,3,2,3
UG494,8,2,4,4,2,1,2,2,0,0
WS Ranch,15,8,1,23,8,0,22,3,17,4
Yellowhouse,0,3,2,0,0,2,0,0,0,0
