SiteNo,Long,Lat
Site 2,-5.227847295,37.32178559
Site 4,-5.979230731,37.51827714
Site 6,-5.69345456,37.40491206
Site 7,-5.673219449,37.61776947
Site 19,-5.710531396,37.27368015
Site 20,-5.710232156,37.27476835
Site 21,-5.743919693,37.30192614
Site 23,-5.825800656,37.60568755
Site 25,-5.639933829,37.4707317
Site 30,-5.289333077,37.45128278
Site 35,-5.74205263,37.71146583
Site 39,-5.344489843,37.44389272
Site 40,-5.353385015,37.43921001
Site 47,-5.205183202,37.2741039
Site 59,-5.617079124,37.28226373
Site 61,-5.224193532,37.54174399
Site 64,-5.961212743,37.47523334
Site 65,-5.305841167,37.47094061
Site 68,-5.237659594,37.50003547
Site 70,-5.491020658,37.43188207
Site 71,-6.050853354,37.28555891
Site 72,-5.656195693,37.24041738
Site 76,-5.568298366,37.44464523
Site 79,-5.580675019,37.41013267
Site 80,-5.572619092,37.40580271
Site 82,-5.320306023,37.46082557
Site 84,-5.579422609,37.40655551
Site 85,-5.532042957,37.4084815
Site 86,-5.804362984,37.31844003
Site 89,-5.347568797,37.43391874
Site 93,-5.473662364,37.73689941
Site 94,-5.382249762,37.45845693
Site 96,-5.607888218,37.62127549
Site 98,-5.547450343,37.4297775
Site 99,-5.561914335,37.42315679
Site 103,-5.775192776,37.33492128
Site 110,-5.271316247,37.63997402
Site 116,-5.318459652,37.76339541
Site 128,-5.822070083,37.2802629
Site 153,-5.317053939,37.51803225
Site 163,-5.570792626,37.41845828
Site 181,-5.254717723,37.46546628
Site 184,-5.81788182,37.31910981
Site 185,-5.474409078,37.63067679
Site 186,-5.481047727,37.73214288
Site 189,-5.818922929,37.3131558
Site 192,-5.335581068,37.30258455
Site 208,-5.352248264,37.7048729
Site 209,-5.837442545,37.35919085
Site 217,-5.22690535,37.6707125
Site 222,-6.027207308,37.36419571
Site 223,-5.40344865,37.4430142
Site 224,-5.40668163,37.44232657
Site 227,-5.399532235,37.43893949
Site 230,-6.043007204,37.43823318
Site 232,-5.994114615,37.38933246
Site 235,-5.7173737,37.37913343
Site 236,-5.493824943,37.48228663
Site 239,-5.728248005,37.24281509
Site 240,-5.673447646,37.26389077
Site 241,-6.003862217,37.27186591
Site 259,-5.236655738,37.37981853
Site 266,-5.216553064,37.47057746
Site 267,-5.285097341,37.49147597
Site 271,-5.193909291,37.65359632
Site 284,-5.496785113,37.36862
Site 285,-5.48282125,37.36016114
Site 286,-5.342188855,37.23445022
Site 287,-5.510037247,37.36176715
Site 288,-5.473024629,37.34889481
Site 289,-5.471438866,37.35457821
Site 290,-5.472060104,37.34185893
Site 291,-5.36708149,37.37062792
Site 292,-5.753865995,37.28010438
Site 293,-5.40362708,37.29544482
Site 294,-5.390019532,37.39071293
Site 295,-5.309663576,37.40076371
Site 296,-5.425357318,37.39941009
Site 297,-5.409538904,37.38339565
Site 298,-5.404344675,37.38907061
Site 299,-5.35343397,37.38952765
Site 18,-5.723070559,37.28213298
Site 41,-5.392715393,37.53844776
Site 42,-6.048206598,37.45003791
Site 171,-5.536108292,37.65105483
Site 445,-5.339685281,37.3092224
