Site,x,y,Great Kiva,Region
Apache Creek,724125,3747310,Rectangular Great Kiva,Mogollon Highlands
Atsinna,726741,3895499,none,El Morro Valley
Baca Pueblo,651431,3797143,none,Upper Little Colorado
Casa Malpais,659021,3786211,Rectangular Great Kiva,Upper Little Colorado
Cienega,738699,3887985,none,El Morro Valley
Coyote Creek,671154,3780509,Rectangular Great Kiva,Upper Little Colorado
Foote Canyon,666154,3708705,Rectangular Great Kiva,Mogollon Highlands
Garcia Ranch,669805,3823198,Cicular Great Kiva,Carrizo Wash
Heshotauthla,712681,3883428,none,Pescado Basin
Hinkson,677212,3853117,Cicular Great Kiva,West Zuni
Hooper Ranch,664369,3791893,Rectangular Great Kiva,Upper Little Colorado
Horse Camp Mill,746535,3824971,none,Mariana Mesa
Hubble Corner,734373,3824746,Cicular Great Kiva,Mariana Mesa
Jarlosa,673176,3848338,Cicular Great Kiva,West Zuni
Los Gigantes,735308,3888291,Cicular Great Kiva,El Morro Valley
Mineral Creek Pueblo,597901,3795618,Cicular Great Kiva,Vernon Area
Mirabal,744755,3882297,Cicular Great Kiva,El Morro Valley
Ojo Bonito,683853,3846551,none,West Zuni
Pescado Cluster,711737,3894086,Cicular Great Kiva,Pescado Basin
Platt Ranch,656147,3833150,none,Carrizo Wash
Pueblo de los Muertos,749183,3882408,none,El Morro Valley
Rudd Creek Ruin,668620,3760723,Rectangular Great Kiva,Upper Little Colorado
Scribe S,737275,3887592,none,El Morro Valley
Spier 170,684917,3843476,none,West Zuni
Techado Springs,743076,3817817,none,Mariana Mesa
Tinaja,738630,3881462,none,El Morro Valley
Tri-R Pueblo,739013,3830966,none,Mariana Mesa
UG481,737163,3823660,none,Mariana Mesa
UG494,744089,3823943,none,Mariana Mesa
WS Ranch,704734,3738528,Rectangular Great Kiva,Mogollon Highlands
Yellowhouse,717881,3886591,none,Pescado Basin
