Name,Number,Size Definition,Size Type a,Size Type b,Xpos,Ypos,Latitude,Longitude,Latitude dms,Longitude dms,Region
Knossos,1,Large,1,1,266.7899188,385.7569604,35.29777778,25.16333333,35.17.52 ,25.09.48 ,Crete
Malia,2,Large,1,1,303.2393954,385.2507177,35.29277778,25.49333333,35.17.34 ,25.29.36 ,Crete
Phaistos,3,Large,1,1,239.9590541,412.5878251,35.05083333,24.81416667,35.03.03 ,24.48.51 ,Crete
Kommos,4,Medium,0.67,0.5,230.846685,412.5878251,35.01694444,24.76138889,35.01.01 ,24.45.41,Crete
A.Triadha,5,Large,1,1,249.0714232,412.5878251,35.05916667,24.79277778,35.03.33,24.47.34,Crete
P-kastro,6,Large,1,1,368.0384648,394.8693295,35.19527778,26.27555556,35.11.43,26.16.32,Crete
Zakros,7,Medium,0.67,0.5,367.0259794,403.475456,35.09777778,26.26111111,35.05.52,26.15.40,Crete
Gournia,8,Large,1,1,321.4641337,403.9816987,35.10944444,25.79277778,35.06.34,25.47.34,Crete
Chania,9,Large,1,1,166.5538582,357.9136102,35.51694444,24.02138889,35.31.01,24.01.17,Crete
Akrotiri,10,Medium,0.67,0.5,294.1270262,267.2961615,36.35,25.39888889,36.21.00 ,25.23.56 ,Cylcades
Phylakopi,11,Medium,0.67,0.5,212.6219467,230.846685,36.73333333,24.41666667,36.44.00,24.25.00,Cylcades
Kastri,12,Medium,0.67,0.5,84.54253594,285.5208998,36.22055556,23.0575,36.13.14,23.03.27,Mainland
Naxos,13,Large,1,1,294.1270262,184.7785965,37.10722222,25.37777778,37.06.26,25.22.40,Cylcades
Kea,14,Medium,0.67,0.5,194.3972084,130.6106244,37.66888889,24.32583333,37.40.08,24.19.33,Cylcades
Karpathos,15,Small,0.33,0.33,439.9249325,348.8012411,35.42277778,27.15277778,35.25.22,27.09.10,DAM
Rhodes,16,Large,1,1,522.4424975,266.7899188,36.41666667,28.15777778,36.25.00,28.09.28,DAM
Kos,17,Medium,0.67,0.5,439.9249325,211.1032185,36.88333333,27.28333333,36.53.00,27.17.00,DAM
Miletus,18,Large,1,1,458.6559135,147.8228772,37.84194444,27.23611111,37.50.31,27.14.10,DAM
Iasos,19,Medium,0.67,0.5,485.993021,166.5538582,37.27944444,27.4175,37.16.46,27.25.03,DAM
Samos,20,Medium,0.67,0.5,412.5878251,120.4857698,37.65722222,26.87111111,37.39.26,26.52.16,DAM
Petras,21,Large,1,1,357.9136102,394.3630868,35.19611111,26.11694444,35.11.46,26.07.01,Crete
Rethymno,22,Large,1,1,203.5095775,376.1383485,35.35305556,24.525,35.21.11,24.31.30,Crete
Paroikia,23,Medium,0.67,0.5,275.9022879,184.7785965,37.08333333,25.15,37.05.00,25.09.00,Cylcades
Amorgos,24,Small,0.33,0.33,331.0827455,212.6219467,36.81666667,25.15,36.49.00,25.09.00,Cylcades
Ios,25,Small,0.33,0.33,285.0146571,230.3404422,36.73222222,25.2875,36.43.56,25.17.15,Cylcades
Aegina,26,Medium,0.67,0.5,121.4982552,112.8921288,37.75,23.42361111,37.45.00,23.25.25,Mainland
Mycenae,27,Large,1,1,66.31779765,121.4982552,37.7325,22.76388889,37.43.57,22.45.50,Mainland
A.Stephanos,28,Large,1,1,48.09305937,212.1157039,36.8,22.58333333,36.48.00,22.35.00,Mainland
Lavrion,29,Medium,0.67,0.5,175.6662274,111.8796434,37.7,24.05,37.42.00,24.03.00,Mainland
Kasos,30,Small,0.33,0.33,421.7001942,367.5322221,35.41527778,26.90611111,35.24.55,26.54.22,DAM
Kalymnos,31,Small,0.33,0.33,431.3188061,193.8909657,36.97527778,27.02444444,36.58.31,27.01.28,DAM
Myndus,32,Medium,0.67,0.5,449.5435444,185.2848392,37.05,27.23333333,37.03.00,27.14.00,DAM
Cesme,33,Medium,0.67,0.5,413.0940678,48.5993021,38.31666667,26.3,38.19.00,26.18.00,DAM
Akbuk,34,Medium,0.67,0.5,476.8806518,157.9477318,37.41083333,27.41055556,37.24.39,27.24.38,DAM
Menelaion,35,Small,0.333333333,0.333333333,28.92450501,184.3774294,37.11277778,22.3675,37.06.46,22.22.03,Mainland
Argos,36,Medium,0.666666667,0.5,61.02507305,138.1880298,37.63361111,22.72888889,37.38.01,22.43.44,Mainland
Lerna,37,Medium,0.666666667,0.5,61.02507305,150.3327623,37.49666667,22.72888889,37.29.48,22.43.44,Mainland
Asine,38,Small,0.333333333,0.333333333,72.89315379,144.8639379,37.55833333,22.8625,37.33.30,22.51.45,Mainland
Eleusis,39,Medium,0.666666667,0.5,133.2945299,101.8523687,38.04333333,23.5425,38.02.36,23.32.33,Mainland
